"repo_name","discussion_count","SO_tag"
"vercel/next.js",9490,"next.js"
"vercel/vercel",2493,"vercel"
"ImageMagick/ImageMagick",2386,"imagemagick"
"react-hook-form/react-hook-form",2238,"react-hook-form"
"strapi/strapi",2055,"strapi"
"prisma/prisma",1232,"prisma"
"tailwindcss/tailwindcss",976,"tailwind-css"
"tannerlinsley/react-table",923,"react-table"
"laravel/framework",851,"laravel"
"adonisjs/core",832,"adonis.js"
"tannerlinsley/react-query",797,"react-query"
"react-spring/react-three-fiber",592,"react-three-fiber"
"concourse/concourse",576,"concourse"
"aws-amplify/amplify-js",566,"amplifyjs"
"alpinejs/alpine",521,"alpine.js"
"parcel-bundler/parcel",501,"parceljs"
"davidkpiano/xstate",501,"xstate"
"dotnet/aspnetcore",443,"asp.net-core"
"directus/directus",391,"directus"
"clap-rs/clap",385,"clap"
"ionic-team/capacitor",379,"capacitor"
"eclipse-theia/theia",339,"theia"
"apache/couchdb",307,"couchdb"
"vercel/swr",305,"vercel"
"twbs/bootstrap",303,"twitter-bootstrap"
"livewire/livewire",275,"imagesharp"
"SixLabors/ImageSharp",275,"laravel-livewire"
"nlohmann/json",267,"nlohmann-json"
"fastlane/fastlane",253,"fastlane"
"beakerbrowser/beaker",253,-
"blitz-js/blitz",248,-
"starship/starship",240,-
"linkerd/linkerd2",237,"linkerd"
"dotnet/efcore",227,"ef-core-3.1"
"keystonejs/keystone",217,"keystonejs"
"goreleaser/goreleaser",201,"goreleaser"
"facebook/create-react-app",199,"create-react-app"
"dotnet/maui",187,"maui"
"dotansimha/graphql-code-generator",184,"graphql-codegen"
"xamarin/Xamarin.Forms",183,"xamarin.forms"
"meilisearch/MeiliSearch",168,-
"react-spring/react-spring",163,"react-spring"
"ardatan/graphql-tools",159,"graphql-tools"
"storybookjs/storybook",146,"storybook"
"scrumpy/tiptap",145,"tiptap"
"BurntSushi/ripgrep",143,"ripgrep"
"outline/outline",132,-
"spatie/laravel-medialibrary",131,-
"codesandbox/codesandbox-client",131,"codesandbox"
"dotnet/runtime",125,".net-runtime"
"babel/babel",120,"babeljs"
"slatedocs/slate",113,-
"apollographql/apollo-client",112,"apollo-client"
"edgedb/edgedb",109,"edgedb"
"gulpjs/gulp",105,"gulp"
"octokit/rest.js",104,"ctokit-js"
"containrrr/watchtower",104,"docker-watchtower"
"google/jax",96,"jax"
"react-static/react-static",95,"react-static"
"graphql/graphiql",91,"graphiql"
"tokio-rs/tokio",83,"rust-tokio"
"spatie/laravel-activitylog",75,-
"qutebrowser/qutebrowser",73,"qutebrowser"
"vuetifyjs/vuetify",67,"vuetify.js"
"PrefectHQ/prefect",66,"prefect"
"facebook/docusaurus",60,"docusaurus"
"rabbitmq/rabbitmq-server",58,"rabbitmq"
"system-ui/theme-ui",56,"theme-ui"
"gomods/athens",51,-
"spatie/laravel-backup",46,-
"formik/formik",44,"formik"
"spatie/laravel-query-builder",39,"laravel-query-builder"
"algolia/instantsearch.js",38,"instantsearch.js"
"dracula/dracula-theme",37,-
"date-fns/date-fns",36,"date-fns"
"gitextensions/gitextensions",33,"git-extensions"
"ruffle-rs/ruffle",32,-
"fastify/fastify",24,"fastify"
"ansible-community/molecule",22,"molecule"
"nuxt/nuxt.js",17,"nuxt.js"
"badges/shields",17,"shields.io"
"apollographql/apollo-server",15,"apollo-server"
"prestodb/presto",13,"presto"
"crate/crate",11,"cratedb"
"containerd/containerd",11,"containerd"
"Eugeny/terminus",10,-
"trailofbits/algo",9,-
"dotnet/roslyn",9,"roslyn"
"probot/probot",6,"probot"
"libgit2/libgit2",6,"libgit2"
"cake-build/cake",6,"cakebuild"
"chocolatey/choco",2,"chocolatey"
"cdnjs/cdnjs",2,-
"react-spring/zustand",1,-
"octokit/octokit.rb",1,"octokit"
"Shopify/polaris-react",1,"polaris"
