"repo_name","discussion_count"
"vercel/next.js",9490
"vercel/vercel",2493
"ImageMagick/ImageMagick",2386
"react-hook-form/react-hook-form",2238
"strapi/strapi",2055
"prisma/prisma",1232
"tailwindcss/tailwindcss",976
"tannerlinsley/react-table",923
"laravel/framework",851
"adonisjs/core",832
"tannerlinsley/react-query",797
"react-spring/react-three-fiber",592
"concourse/concourse",576
"aws-amplify/amplify-js",566
"alpinejs/alpine",521
"parcel-bundler/parcel",501
"davidkpiano/xstate",501
"dotnet/aspnetcore",443
"directus/directus",391
"clap-rs/clap",385
"ionic-team/capacitor",379
"eclipse-theia/theia",339
"apache/couchdb",307
"vercel/swr",305
"twbs/bootstrap",303
"livewire/livewire",275
"SixLabors/ImageSharp",275
"nlohmann/json",267
"fastlane/fastlane",253
"beakerbrowser/beaker",253
"blitz-js/blitz",248
"starship/starship",240
"linkerd/linkerd2",237
"dotnet/efcore",227
"keystonejs/keystone",217
"goreleaser/goreleaser",201
"facebook/create-react-app",199
"dotnet/maui",187
"dotansimha/graphql-code-generator",184
"xamarin/Xamarin.Forms",183
"meilisearch/MeiliSearch",168
"react-spring/react-spring",163
"ardatan/graphql-tools",159
"storybookjs/storybook",146
"scrumpy/tiptap",145
"BurntSushi/ripgrep",143
"outline/outline",132
"spatie/laravel-medialibrary",131
"codesandbox/codesandbox-client",131
"dotnet/runtime",125
"babel/babel",120
"slatedocs/slate",113
"apollographql/apollo-client",112
"edgedb/edgedb",109
"gulpjs/gulp",105
"octokit/rest.js",104
"containrrr/watchtower",104
"google/jax",96
"react-static/react-static",95
"graphql/graphiql",91
"tokio-rs/tokio",83
"spatie/laravel-activitylog",75
"qutebrowser/qutebrowser",73
"vuetifyjs/vuetify",67
"PrefectHQ/prefect",66
"facebook/docusaurus",60
"rabbitmq/rabbitmq-server",58
"system-ui/theme-ui",56
"gomods/athens",51
"spatie/laravel-backup",46
"formik/formik",44
"spatie/laravel-query-builder",39
"algolia/instantsearch.js",38
"dracula/dracula-theme",37
"date-fns/date-fns",36
"gitextensions/gitextensions",33
"ruffle-rs/ruffle",32
"fastify/fastify",24
"ansible-community/molecule",22
"nuxt/nuxt.js",17
"badges/shields",17
"apollographql/apollo-server",15
"prestodb/presto",13
"crate/crate",11
"containerd/containerd",11
"Eugeny/terminus",10
"trailofbits/algo",9
"dotnet/roslyn",9
"probot/probot",6
"libgit2/libgit2",6
"cake-build/cake",6
"chocolatey/choco",2
"cdnjs/cdnjs",2
"react-spring/zustand",1
"octokit/octokit.rb",1
"Shopify/polaris-react",1
